id,name,upshift,downshift,reverse,neutral key,seven gears,neutral detection,reverse is button,nascar racing mode,memory write mode,dosbox base address,offset,presskey timer,releasekey timer,
0,Gran Turismo 4 pcsx2,s,z,c,n,True,False,True,False,False,0,0,0.05,0.3,
1,Enthusia pcsx2,s,z,c,n,True,False,False,False,False,0,0,0.05,0.3,
2,Gran Turismo duckstation,s,z,c,n,False,False,True,False,False,0,0,0.05,0.2,
3,Nascar Racing dosbox,s,z,c,n,False,False,True,True,False,0,0,0.05,0.2,
4,Nascar Racing dosbox mem mode,s,z,c,n,False,False,True,True,True,0x01D3A1A0,0x23A1D2,0.05,0.2,
5,Nascar Racing 2 dosbox,a,z,c,n,False,False,True,True,False,0,0,0.05,0.2,
6,Nascar Racing 2 dosbox mem mode,a,z,c,n,False,False,False,True,True,0x01D3A1A0,0x292AE0,0.05,0.2,
7,Indycar Racing dosbox,s,z,t,n,False,False,True,True,False,0,0,0.05,0.2,
8,Indycar Racing dosbox mem mode,s,z,t,n,False,False,True,True,True,0x01D3A1A0,0x20474B,0.05,0.2,
9,Grand Prix 2 dosbox,s,z,c,n,True,True,False,False,True,0x01D3A1A0,0x291BF0,0.05,0.2,
10,Colin McRae Rally pc,s,z,c,n,False,True,False,False,False,0,0,0.05,0.2,
11,Indanapolis 500 model2 emu,s,z,c,n,False,False,False,False,False,0,0,0.05,0.2,
